0.970638426370814
593	149
546	260
597	279
604	160
641	188
656	246
720	88
663	298
646	205
6	941
615	283
656	268
652	224
647	239
641	231
628	287
677	263
667	262
648	198
643	201
0.9010149046535074
546	260
597	279
604	160
641	188
656	246
720	88
663	298
646	205
6	941
615	283
656	268
652	224
647	239
641	231
628	287
677	263
667	262
648	198
643	201
653	209
0.9191400243492684
597	279
604	160
641	188
656	246
720	88
663	298
646	205
6	941
615	283
656	268
652	224
647	239
641	231
628	287
677	263
667	262
648	198
643	201
653	209
707	196
0.9229947126270428
604	160
641	188
656	246
720	88
663	298
646	205
6	941
615	283
656	268
652	224
647	239
641	231
628	287
677	263
667	262
648	198
643	201
653	209
707	196
698	234
0.920976576234374
641	188
656	246
720	88
663	298
646	205
6	941
615	283
656	268
652	224
647	239
641	231
628	287
677	263
667	262
648	198
643	201
653	209
707	196
698	234
683	235
0.9405803614264732
656	246
720	88
663	298
646	205
6	941
615	283
656	268
652	224
647	239
641	231
628	287
677	263
667	262
648	198
643	201
653	209
707	196
698	234
683	235
628	232
0.9453809105410065
720	88
663	298
646	205
6	941
615	283
656	268
652	224
647	239
641	231
628	287
677	263
667	262
648	198
643	201
653	209
707	196
698	234
683	235
628	232
649	173
0.9383966014335049
663	298
646	205
6	941
615	283
656	268
652	224
647	239
641	231
628	287
677	263
667	262
648	198
643	201
653	209
707	196
698	234
683	235
628	232
649	173
640	194
0.955119198443139
646	205
6	941
615	283
656	268
652	224
647	239
641	231
628	287
677	263
667	262
648	198
643	201
653	209
707	196
698	234
683	235
628	232
649	173
640	194
679	195
0.9635035390334228
6	941
615	283
656	268
652	224
647	239
641	231
628	287
677	263
667	262
648	198
643	201
653	209
707	196
698	234
683	235
628	232
649	173
640	194
679	195
685	160
0.9591769554409497
88	325
22	294
1391	355
1387	346
74	311
60	373
23	278
27	278
54	304
44	325
23	288
1302	394
1313	410
1303	415
1308	409
1305	417
56	302
1292	423
1295	427
1293	423
0.912743666045764
22	294
1391	355
1387	346
74	311
60	373
23	278
27	278
54	304
44	325
23	288
1302	394
1313	410
1303	415
1308	409
1305	417
56	302
1292	423
1295	427
1293	423
1292	422
0.9221444328298322
1391	355
1387	346
74	311
60	373
23	278
27	278
54	304
44	325
23	288
1302	394
1313	410
1303	415
1308	409
1305	417
56	302
1292	423
1295	427
1293	423
1292	422
88	311
0.9054019888793713
1387	346
74	311
60	373
23	278
27	278
54	304
44	325
23	288
1302	394
1313	410
1303	415
1308	409
1305	417
56	302
1292	423
1295	427
1293	423
1292	422
88	311
1289	434
0.9110486923450003
74	311
60	373
23	278
27	278
54	304
44	325
23	288
1302	394
1313	410
1303	415
1308	409
1305	417
56	302
1292	423
1295	427
1293	423
1292	422
88	311
1289	434
1300	442
0.9113513904175166
60	373
23	278
27	278
54	304
44	325
23	288
1302	394
1313	410
1303	415
1308	409
1305	417
56	302
1292	423
1295	427
1293	423
1292	422
88	311
1289	434
1300	442
1297	458
0.9019793250014654
23	278
27	278
54	304
44	325
23	288
1302	394
1313	410
1303	415
1308	409
1305	417
56	302
1292	423
1295	427
1293	423
1292	422
88	311
1289	434
1300	442
1297	458
114	357
0.9486747421737486
27	278
54	304
44	325
23	288
1302	394
1313	410
1303	415
1308	409
1305	417
56	302
1292	423
1295	427
1293	423
1292	422
88	311
1289	434
1300	442
1297	458
114	357
127	361
0.9412399076562001
54	304
44	325
23	288
1302	394
1313	410
1303	415
1308	409
1305	417
56	302
1292	423
1295	427
1293	423
1292	422
88	311
1289	434
1300	442
1297	458
114	357
127	361
1349	426
0.9211708315671161
44	325
23	288
1302	394
1313	410
1303	415
1308	409
1305	417
56	302
1292	423
1295	427
1293	423
1292	422
88	311
1289	434
1300	442
1297	458
114	357
127	361
1349	426
129	378
0.90097887772601
1398	421
1385	430
1382	509
639	57
231	346
684	102
686	97
1386	601
1384	556
1382	559
1387	633
1392	691
633	66
690	107
1397	713
1384	677
1383	662
635	67
1393	730
699	117
0.9037164176227613
639	57
231	346
684	102
686	97
1386	601
1384	556
1382	559
1387	633
1392	691
633	66
690	107
1397	713
1384	677
1383	662
635	67
1393	730
699	117
1387	963
1398	889
1373	836
0.9061835382987826
1387	633
1392	691
633	66
690	107
1397	713
1384	677
1383	662
635	67
1393	730
699	117
1387	963
1398	889
1373	836
1380	791
1388	768
1377	790
1377	827
1382	891
1386	961
1373	909
0.9012230946324984
1392	691
633	66
690	107
1397	713
1384	677
1383	662
635	67
1393	730
699	117
1387	963
1398	889
1373	836
1380	791
1388	768
1377	790
1377	827
1382	891
1386	961
1373	909
1365	848
0.9175853952801549
633	66
690	107
1397	713
1384	677
1383	662
635	67
1393	730
699	117
1387	963
1398	889
1373	836
1380	791
1388	768
1377	790
1377	827
1382	891
1386	961
1373	909
1365	848
1355	793
0.9268073968073943
690	107
1397	713
1384	677
1383	662
635	67
1393	730
699	117
1387	963
1398	889
1373	836
1380	791
1388	768
1377	790
1377	827
1382	891
1386	961
1373	909
1365	848
1355	793
1338	826
0.9082850274884557
1383	662
635	67
1393	730
699	117
1387	963
1398	889
1373	836
1380	791
1388	768
1377	790
1377	827
1382	891
1386	961
1373	909
1365	848
1355	793
1338	826
1319	942
1314	878
1293	825
0.9000236554766015
635	67
1393	730
699	117
1387	963
1398	889
1373	836
1380	791
1388	768
1377	790
1377	827
1382	891
1386	961
1373	909
1365	848
1355	793
1338	826
1319	942
1314	878
1293	825
1277	852
0.9292207096980478
1100	960
1097	956
1087	941
1086	946
1041	964
1053	960
1055	965
1035	978
1028	970
1024	982
1021	971
1016	978
1007	977
995	986
985	989
974	992
958	997
946	998
938	1001
917	1004
0.9048184290822732
1097	956
1087	941
1086	946
1041	964
1053	960
1055	965
1035	978
1028	970
1024	982
1021	971
1016	978
1007	977
995	986
985	989
974	992
958	997
946	998
938	1001
917	1004
265	327
0.9986572798662757
1087	941
1086	946
1041	964
1053	960
1055	965
1035	978
1028	970
1024	982
1021	971
1016	978
1007	977
995	986
985	989
974	992
958	997
946	998
938	1001
917	1004
265	327
243	338
0.9975668143255843
1086	946
1041	964
1053	960
1055	965
1035	978
1028	970
1024	982
1021	971
1016	978
1007	977
995	986
985	989
974	992
958	997
946	998
938	1001
917	1004
265	327
243	338
199	398
0.9793775746403716
1041	964
1053	960
1055	965
1035	978
1028	970
1024	982
1021	971
1016	978
1007	977
995	986
985	989
974	992
958	997
946	998
938	1001
917	1004
265	327
243	338
199	398
250	552
0.9624337314132236
1053	960
1055	965
1035	978
1028	970
1024	982
1021	971
1016	978
1007	977
995	986
985	989
974	992
958	997
946	998
938	1001
917	1004
265	327
243	338
199	398
250	552
194	525
0.9427940158444397
1055	965
1035	978
1028	970
1024	982
1021	971
1016	978
1007	977
995	986
985	989
974	992
958	997
946	998
938	1001
917	1004
265	327
243	338
199	398
250	552
194	525
178	307
0.9516218367243648
1035	978
1028	970
1024	982
1021	971
1016	978
1007	977
995	986
985	989
974	992
958	997
946	998
938	1001
917	1004
265	327
243	338
199	398
250	552
194	525
178	307
186	391
0.9557701829688101
1028	970
1024	982
1021	971
1016	978
1007	977
995	986
985	989
974	992
958	997
946	998
938	1001
917	1004
265	327
243	338
199	398
250	552
194	525
178	307
186	391
186	366
0.9589477779993055
1024	982
1021	971
1016	978
1007	977
995	986
985	989
974	992
958	997
946	998
938	1001
917	1004
265	327
243	338
199	398
250	552
194	525
178	307
186	391
186	366
184	287
0.9595724562677246
1021	971
1016	978
1007	977
995	986
985	989
974	992
958	997
946	998
938	1001
917	1004
265	327
243	338
199	398
250	552
194	525
178	307
186	391
186	366
184	287
182	244
0.9570423779010498
1016	978
1007	977
995	986
985	989
974	992
958	997
946	998
938	1001
917	1004
265	327
243	338
199	398
250	552
194	525
178	307
186	391
186	366
184	287
182	244
110	22
0.952221664033787
1007	977
995	986
985	989
974	992
958	997
946	998
938	1001
917	1004
265	327
243	338
199	398
250	552
194	525
178	307
186	391
186	366
184	287
182	244
110	22
254	166
0.9227344660791562
995	986
985	989
974	992
958	997
946	998
938	1001
917	1004
265	327
243	338
199	398
250	552
194	525
178	307
186	391
186	366
184	287
182	244
110	22
254	166
79	266
0.9150806641620571
